,Time,Open,High,Close,Low,Volume
226, 13:18,57.02,57.02,56.99,56.99,1995
227, 13:20,56.96,56.98,56.98,56.945,3652
228, 13:21,57.0,57.0,56.995,56.98,2565
229, 13:22,56.99,57.0,57.0,56.99,1010
230, 13:23,56.98,56.98,56.98,56.97,1383
231, 13:24,56.98,56.985,56.98,56.98,1097
232, 13:25,56.995,57.0,57.0,56.995,599
233, 13:26,57.007,57.007,56.97,56.97,1450
234, 13:27,56.97,56.97,56.97,56.96,566
235, 13:28,56.974,57.0,56.99,56.974,2214
236, 13:29,56.98,56.99,56.985,56.98,1000
237, 13:30,56.98,56.99,56.98,56.96,4936
238, 13:31,56.97,56.97,56.94,56.93,2957
239, 13:32,56.93,56.93,56.93,56.93,223
240, 13:33,56.93,56.93,56.93,56.92,433
241, 13:34,56.91,56.91,56.91,56.91,684
242, 13:35,56.895,56.92,56.92,56.895,2608
243, 13:36,56.93,56.93,56.93,56.92,9017
244, 13:37,56.96,56.97,56.97,56.96,701
245, 13:38,56.98,56.98,56.97,56.965,5632
246, 13:39,56.98,57.04,57.04,56.98,677
247, 13:40,57.05,57.13,57.125,57.045,26574
248, 13:41,57.12,57.12,57.08,57.07,1360
249, 13:42,57.09,57.09,57.08,57.07,862
250, 13:43,57.08,57.1,57.08,57.08,5716
251, 13:44,57.05,57.06,57.04,57.04,1552
252, 13:45,57.03,57.05,57.05,57.03,835
253, 13:46,57.05,57.05,57.045,57.045,703
254, 13:47,57.06,57.06,57.05,57.05,500
255, 13:48,57.07,57.07,57.04,57.02,2583
256, 13:49,57.04,57.04,57.04,57.03,2226
257, 13:50,57.04,57.04,57.04,57.04,203
258, 13:51,57.045,57.045,57.005,57.0,2875
259, 13:53,57.04,57.05,57.035,57.035,1880
260, 13:54,57.06,57.075,57.07,57.06,2891
261, 13:55,57.08,57.1,57.07,57.07,1796
262, 13:56,57.06,57.075,57.05,57.05,3022
263, 13:57,57.05,57.05,57.04,57.03,1318
264, 13:58,57.04,57.05,57.05,57.04,658
265, 13:59,57.06,57.065,57.04,57.03,3068
266, 14:00,57.06,57.07,57.07,57.045,2045
267, 14:01,57.075,57.11,57.095,57.072,1558
268, 14:02,57.115,57.13,57.13,57.11,717
269, 14:03,57.11,57.11,57.09,57.085,2055
270, 14:04,57.1,57.1,57.075,57.07,1326
271, 14:05,57.08,57.09,57.07,57.07,913
272, 14:06,57.07,57.08,57.08,57.07,1950
273, 14:07,57.09,57.1,57.09,57.075,1974
274, 14:08,57.1,57.11,57.09,57.09,3147
275, 14:09,57.09,57.11,57.11,57.09,1189
276, 14:10,57.1,57.1,57.1,57.08,1594
277, 14:11,57.07,57.09,57.08,57.07,1082
278, 14:12,57.08,57.11,57.11,57.07,2499
279, 14:13,57.11,57.11,57.08,57.08,3188
280, 14:14,57.08,57.1,57.1,57.08,491
281, 14:15,57.1,57.12,57.11,57.1,971
282, 14:16,57.13,57.13,57.13,57.13,1657
283, 14:17,57.13,57.14,57.14,57.13,907
284, 14:18,57.15,57.15,57.135,57.135,553
285, 14:19,57.135,57.135,57.12,57.115,2454
286, 14:20,57.13,57.14,57.13,57.125,3485
287, 14:21,57.125,57.14,57.13,57.125,2959
288, 14:22,57.13,57.13,57.105,57.1,2395
289, 14:23,57.12,57.14,57.14,57.12,1852
290, 14:24,57.14,57.15,57.12,57.12,2197
291, 14:25,57.11,57.11,57.11,57.11,322
292, 14:26,57.09,57.09,57.08,57.08,1295
293, 14:27,57.08,57.12,57.12,57.077,1756
294, 14:28,57.13,57.13,57.11,57.11,2305
295, 14:29,57.13,57.17,57.145,57.125,6871
296, 14:30,57.175,57.175,57.16,57.16,2299
297, 14:31,57.155,57.16,57.15,57.13,3114
298, 14:32,57.14,57.14,57.14,57.14,589
299, 14:33,57.13,57.17,57.17,57.13,964
300, 14:34,57.165,57.195,57.19,57.165,2328
301, 14:35,57.185,57.19,57.19,57.18,1559
302, 14:36,57.19,57.19,57.16,57.14,3766
303, 14:37,57.16,57.16,57.15,57.15,1040
304, 14:38,57.13,57.14,57.14,57.13,473
305, 14:39,57.15,57.15,57.14,57.14,3034
306, 14:40,57.135,57.15,57.15,57.135,1231
307, 14:41,57.16,57.16,57.13,57.13,4007
308, 14:42,57.14,57.15,57.145,57.13,2635
309, 14:43,57.145,57.16,57.14,57.14,1161
310, 14:44,57.14,57.14,57.13,57.13,424
311, 14:45,57.13,57.135,57.13,57.12,1132
312, 14:46,57.14,57.15,57.14,57.14,756
313, 14:47,57.14,57.14,57.12,57.1,5124
314, 14:48,57.11,57.11,57.1,57.09,1621
315, 14:49,57.07,57.075,57.065,57.065,2181
316, 14:50,57.08,57.1,57.09,57.08,5062
317, 14:51,57.085,57.09,57.09,57.075,1914
318, 14:52,57.1,57.13,57.13,57.1,1395
319, 14:53,57.13,57.17,57.17,57.13,1654
320, 14:54,57.16,57.17,57.17,57.16,417
321, 14:55,57.18,57.2,57.19,57.17,12168
322, 14:56,57.2,57.205,57.17,57.17,4330
323, 14:57,57.16,57.165,57.16,57.16,625
324, 14:58,57.17,57.17,57.13,57.125,8375
325, 14:59,57.12,57.13,57.13,57.1,3138
326, 15:00,57.14,57.18,57.17,57.14,3386
327, 15:01,57.18,57.18,57.14,57.135,13152
328, 15:02,57.135,57.135,57.13,57.13,501
329, 15:03,57.12,57.13,57.12,57.11,2903
330, 15:04,57.12,57.12,57.11,57.11,449
331, 15:05,57.11,57.115,57.115,57.11,2077
332, 15:06,57.12,57.14,57.13,57.12,933
333, 15:07,57.135,57.135,57.1,57.1,3303
334, 15:08,57.11,57.11,57.06,57.06,3069
335, 15:09,57.07,57.08,57.07,57.07,971
336, 15:10,57.08,57.08,57.07,57.07,808
337, 15:11,57.06,57.08,57.08,57.06,1255
338, 15:12,57.1,57.14,57.14,57.1,7106
339, 15:13,57.13,57.16,57.13,57.13,8304
340, 15:14,57.12,57.12,57.11,57.11,620
341, 15:15,57.09,57.12,57.12,57.09,848
342, 15:16,57.12,57.16,57.15,57.12,1483
343, 15:17,57.16,57.2,57.19,57.16,5056
344, 15:18,57.18,57.2,57.2,57.15,6684
345, 15:19,57.195,57.195,57.18,57.18,1077
346, 15:20,57.195,57.23,57.22,57.195,2524
347, 15:21,57.23,57.25,57.25,57.225,3630
348, 15:22,57.27,57.27,57.26,57.245,1949
349, 15:23,57.26,57.27,57.27,57.24,2685
350, 15:24,57.27,57.28,57.27,57.255,2307
351, 15:25,57.28,57.28,57.28,57.27,5113
352, 15:26,57.28,57.31,57.31,57.28,8532
353, 15:27,57.31,57.345,57.312,57.31,4682
354, 15:28,57.315,57.386,57.386,57.315,20667
355, 15:29,57.39,57.39,57.37,57.37,13139
356, 15:30,57.36,57.36,57.345,57.33,5258
